Main_Source_of_Income,Education_Expenditure,Household_Head_Sex,Household_Head_Age,Total_members_employed
Enterpreneurial Activities,22780,Female,61,1
Other sources of Income,26060,Female,75,0
Other sources of Income,2400,Male,72,1
Wage/Salaries,18200,Female,74,2
Wage/Salaries,3370,Male,48,2
Other sources of Income,7119,Female,40,1
Enterpreneurial Activities,3345,Male,46,0
Other sources of Income,2600,Male,56,0
Other sources of Income,1500,Male,74,1
Other sources of Income,0,Male,63,0
Wage/Salaries,0,Male,74,2
Enterpreneurial Activities,2000,Male,54,1
Other sources of Income,29500,Male,48,0
Other sources of Income,0,Male,30,1
Enterpreneurial Activities,500,Female,61,1
Wage/Salaries,600,Male,63,2
Wage/Salaries,0,Male,48,2
Wage/Salaries,870,Male,51,0
Wage/Salaries,1200,Male,73,2
Enterpreneurial Activities,300,Male,43,0
Wage/Salaries,0,Male,39,1
Enterpreneurial Activities,200,Male,60,1
Enterpreneurial Activities,950,Male,39,0
Wage/Salaries,0,Male,60,1
Wage/Salaries,0,Male,60,2
Wage/Salaries,0,Female,44,1
Wage/Salaries,75600,Male,43,4
Wage/Salaries,7025,Male,33,4
Wage/Salaries,7349,Male,40,1
Other sources of Income,37800,Male,67,1
Wage/Salaries,3460,Female,59,4
Wage/Salaries,835,Male,54,0
Wage/Salaries,0,Male,44,3
Wage/Salaries,1359,Male,37,2
Enterpreneurial Activities,7540,Female,71,0
Wage/Salaries,0,Male,56,0
Wage/Salaries,3250,Female,58,1
Wage/Salaries,8105,Male,43,1
Other sources of Income,26585,Female,56,0
Wage/Salaries,320,Male,62,3
Wage/Salaries,1574,Male,46,3
Enterpreneurial Activities,2935,Male,46,0
Wage/Salaries,0,Male,41,2
Other sources of Income,0,Female,68,0
Wage/Salaries,1950,Male,45,2
Wage/Salaries,2250,Male,46,1
Wage/Salaries,5500,Male,46,2
Wage/Salaries,450,Male,63,2
Other sources of Income,855,Male,39,0
Wage/Salaries,21400,Male,49,2
Wage/Salaries,0,Male,55,2
Wage/Salaries,22100,Male,49,1
Other sources of Income,0,Female,85,0
Wage/Salaries,15225,Male,51,1
Enterpreneurial Activities,52020,Male,54,2
Wage/Salaries,0,Male,66,2
Wage/Salaries,859,Male,30,2
Wage/Salaries,0,Male,57,1
Other sources of Income,0,Male,66,0
Wage/Salaries,3505,Male,43,2
Enterpreneurial Activities,745,Male,36,1
Enterpreneurial Activities,3245,Male,40,1
Enterpreneurial Activities,1260,Female,55,4
Wage/Salaries,26700,Male,59,2
Other sources of Income,0,Female,94,1
Enterpreneurial Activities,241500,Male,46,1
Enterpreneurial Activities,3270,Male,45,0
Wage/Salaries,2010,Male,46,5
Other sources of Income,0,Male,56,0
Other sources of Income,2340,Male,48,1
Wage/Salaries,136658,Male,47,2
Enterpreneurial Activities,0,Male,72,0
Other sources of Income,5986,Female,53,0
Enterpreneurial Activities,1630,Male,44,0
Wage/Salaries,1180,Male,51,2
Wage/Salaries,0,Male,57,1
Wage/Salaries,0,Male,57,3
Wage/Salaries,607,Male,47,2
Enterpreneurial Activities,0,Male,50,0
Wage/Salaries,1405,Male,40,4
Wage/Salaries,0,Male,30,1
Wage/Salaries,0,Male,59,1
Wage/Salaries,630,Male,33,2
Enterpreneurial Activities,0,Male,47,2
Other sources of Income,0,Female,75,0
Wage/Salaries,560,Male,37,1
Enterpreneurial Activities,80,Male,46,0
Other sources of Income,0,Female,70,0
Enterpreneurial Activities,845,Male,35,0
Enterpreneurial Activities,1080,Male,44,2
Wage/Salaries,680,Female,51,3
Enterpreneurial Activities,1060,Male,56,1
Enterpreneurial Activities,500,Male,40,4
Wage/Salaries,4335,Male,43,4
Other sources of Income,26410,Male,58,0
Wage/Salaries,849,Male,40,2
Other sources of Income,550,Male,74,0
Wage/Salaries,0,Male,57,1
Other sources of Income,0,Female,57,0
Wage/Salaries,0,Female,58,3
Wage/Salaries,26170,Male,38,1
Enterpreneurial Activities,1050,Male,33,1
Wage/Salaries,50,Male,28,2
Other sources of Income,810,Male,34,2
Other sources of Income,5065,Female,47,1
Wage/Salaries,1270,Male,40,1
Wage/Salaries,3710,Male,50,1
Enterpreneurial Activities,2100,Male,53,0
Enterpreneurial Activities,0,Male,52,0
Other sources of Income,0,Male,64,0
Wage/Salaries,1275,Male,43,2
Enterpreneurial Activities,19550,Male,68,1
Enterpreneurial Activities,7150,Male,51,3
Other sources of Income,1550,Male,62,2
Wage/Salaries,0,Male,56,2
Enterpreneurial Activities,14600,Male,33,0
Enterpreneurial Activities,21130,Male,56,0
Other sources of Income,200,Female,51,0
Other sources of Income,0,Male,70,1
Other sources of Income,833,Female,49,2
Enterpreneurial Activities,16950,Male,55,0
Other sources of Income,43705,Male,53,1
Enterpreneurial Activities,2250,Male,42,4
Wage/Salaries,395,Female,49,3
Enterpreneurial Activities,1680,Male,47,0
Enterpreneurial Activities,2528,Male,48,2
Other sources of Income,1708,Female,55,1
Wage/Salaries,5200,Female,65,2
Wage/Salaries,0,Male,67,3
Wage/Salaries,360,Female,47,1
Other sources of Income,0,Female,74,0
Enterpreneurial Activities,0,Male,61,0
Enterpreneurial Activities,4200,Male,63,1
Wage/Salaries,0,Male,64,1
Wage/Salaries,51400,Male,50,3
Wage/Salaries,2470,Male,47,2
Wage/Salaries,6550,Male,63,1
Enterpreneurial Activities,0,Male,62,1
Enterpreneurial Activities,5150,Male,59,2
Enterpreneurial Activities,647,Male,52,2
Other sources of Income,0,Male,67,1
Wage/Salaries,1377,Male,44,2
Enterpreneurial Activities,12916,Male,47,1
Other sources of Income,3300,Male,43,2
Wage/Salaries,2250,Male,47,6
Wage/Salaries,1080,Male,64,2
Enterpreneurial Activities,558,Female,73,2
Wage/Salaries,960,Male,57,1
Enterpreneurial Activities,0,Male,56,0
Other sources of Income,200,Male,71,0
Enterpreneurial Activities,325,Male,51,1
Enterpreneurial Activities,380,Male,40,1
Wage/Salaries,1310,Male,45,2
Wage/Salaries,0,Female,59,3
Wage/Salaries,600,Male,40,2
Wage/Salaries,0,Male,62,1
Wage/Salaries,690,Male,52,2
Enterpreneurial Activities,0,Male,26,0
Wage/Salaries,160,Male,51,1
Wage/Salaries,420,Male,48,2
Other sources of Income,3010,Male,54,0
Enterpreneurial Activities,3600,Male,62,1
Other sources of Income,100,Male,58,2
Enterpreneurial Activities,1470,Male,44,1
Other sources of Income,0,Male,80,1
Wage/Salaries,322,Male,37,2
Enterpreneurial Activities,23682,Male,44,1
Wage/Salaries,272,Male,40,1
Wage/Salaries,1640,Male,53,2
Wage/Salaries,580,Male,49,3
Enterpreneurial Activities,0,Male,61,0
Wage/Salaries,400,Male,36,1
Enterpreneurial Activities,14540,Male,42,2
Enterpreneurial Activities,4375,Male,55,0
Enterpreneurial Activities,0,Male,57,0
Wage/Salaries,3700,Male,48,1
Other sources of Income,0,Male,49,1
Enterpreneurial Activities,650,Female,66,1
Other sources of Income,960,Female,33,1
Wage/Salaries,425,Male,41,1
Wage/Salaries,1900,Male,57,4
Enterpreneurial Activities,200,Male,52,1
Wage/Salaries,200,Male,50,1
Wage/Salaries,862,Male,37,1
Wage/Salaries,1880,Male,41,1
Enterpreneurial Activities,350,Male,46,0
Enterpreneurial Activities,950,Male,47,0
Wage/Salaries,0,Male,61,1
Wage/Salaries,0,Male,57,1
Wage/Salaries,100,Male,41,1
Wage/Salaries,617,Male,37,1
Other sources of Income,360,Male,45,1
Enterpreneurial Activities,340,Male,74,2
Other sources of Income,1900,Male,67,1
Enterpreneurial Activities,720,Male,44,1
Wage/Salaries,2450,Male,44,1
Wage/Salaries,1400,Female,63,2
Wage/Salaries,0,Female,59,1
Enterpreneurial Activities,1150,Male,38,1
Wage/Salaries,0,Male,60,1
Wage/Salaries,1430,Male,36,1
Enterpreneurial Activities,34050,Female,55,2
Enterpreneurial Activities,200,Male,37,1
Enterpreneurial Activities,400,Male,39,1
Wage/Salaries,0,Female,64,1
Wage/Salaries,0,Male,52,1
Wage/Salaries,11000,Male,48,2
Wage/Salaries,1400,Male,53,1
Wage/Salaries,0,Female,67,2
Enterpreneurial Activities,800,Male,79,1
Enterpreneurial Activities,6000,Male,42,1
Wage/Salaries,2300,Male,39,1
Other sources of Income,600,Female,56,0
Wage/Salaries,59800,Male,47,2
Wage/Salaries,2000,Male,42,1
Wage/Salaries,1506,Male,39,1
Wage/Salaries,28433,Female,31,1
Enterpreneurial Activities,0,Male,41,0
Enterpreneurial Activities,400,Male,58,0
Wage/Salaries,2050,Male,59,3
Other sources of Income,36950,Male,60,1
Wage/Salaries,2200,Male,49,2
Wage/Salaries,1350,Male,39,2
Enterpreneurial Activities,0,Male,54,2
Wage/Salaries,0,Male,52,2
Other sources of Income,15000,Male,55,1
Enterpreneurial Activities,175,Male,31,1
Wage/Salaries,1500,Male,47,2
Other sources of Income,0,Male,46,0
Wage/Salaries,1680,Male,39,1
Enterpreneurial Activities,1100,Male,37,0
Enterpreneurial Activities,840,Male,41,0
Wage/Salaries,900,Male,27,1
Enterpreneurial Activities,1450,Male,41,1
Wage/Salaries,37000,Male,54,2
Wage/Salaries,17300,Male,40,1
Enterpreneurial Activities,1000,Male,54,0
Wage/Salaries,2200,Male,51,2
Enterpreneurial Activities,1500,Female,57,0
Wage/Salaries,150,Male,48,1
Enterpreneurial Activities,0,Female,50,0
Enterpreneurial Activities,300,Male,25,1
Wage/Salaries,20038,Male,41,1
Wage/Salaries,1500,Male,33,1
Wage/Salaries,1050,Male,58,1
Wage/Salaries,0,Male,55,3
Enterpreneurial Activities,2050,Male,49,1
Wage/Salaries,2320,Male,55,1
Wage/Salaries,810,Male,53,4
Enterpreneurial Activities,1050,Female,68,0
Wage/Salaries,0,Female,77,2
Other sources of Income,0,Male,72,0
Enterpreneurial Activities,15780,Male,46,1
Enterpreneurial Activities,0,Male,60,0
Wage/Salaries,1260,Male,62,6
Other sources of Income,1769,Female,29,0
Wage/Salaries,270,Male,45,1
Other sources of Income,929,Female,40,1
Wage/Salaries,0,Male,58,6
Wage/Salaries,77000,Female,45,1
Enterpreneurial Activities,0,Male,46,0
Wage/Salaries,1070,Male,59,8
Wage/Salaries,1550,Male,60,1
Wage/Salaries,0,Male,45,1
Enterpreneurial Activities,0,Male,80,0
Wage/Salaries,450,Male,29,1
Enterpreneurial Activities,61100,Male,48,1
Wage/Salaries,3774,Male,57,3
Other sources of Income,530,Male,54,0
Enterpreneurial Activities,1365,Male,44,0
Enterpreneurial Activities,430,Male,67,1
Wage/Salaries,8900,Male,55,1
Wage/Salaries,675,Male,55,1
Enterpreneurial Activities,0,Male,52,0
Wage/Salaries,3480,Male,36,2
Enterpreneurial Activities,0,Male,61,0
Other sources of Income,765,Female,72,2
Enterpreneurial Activities,120,Male,31,1
Enterpreneurial Activities,27490,Male,47,1
Enterpreneurial Activities,550,Female,50,2
Enterpreneurial Activities,1600,Male,34,2
Enterpreneurial Activities,6633,Male,39,1
Wage/Salaries,14855,Female,52,3
Wage/Salaries,580,Male,33,1
Wage/Salaries,0,Male,62,2
Other sources of Income,2151,Male,28,1
Wage/Salaries,2120,Male,51,1
Wage/Salaries,615,Male,39,2
Enterpreneurial Activities,10350,Male,67,1
Wage/Salaries,200,Male,59,3
Wage/Salaries,0,Male,27,1
Wage/Salaries,1050,Male,46,1
Wage/Salaries,0,Male,51,2
Wage/Salaries,1375,Male,36,3
Wage/Salaries,0,Male,28,1
Wage/Salaries,0,Male,32,1
Wage/Salaries,600,Male,36,1
Wage/Salaries,850,Male,46,1
Other sources of Income,0,Female,62,1
Wage/Salaries,1600,Male,39,1
Wage/Salaries,1100,Male,36,1
Wage/Salaries,1830,Male,47,2
Wage/Salaries,0,Male,65,1
Enterpreneurial Activities,1210,Male,46,2
Wage/Salaries,9000,Male,53,1
Enterpreneurial Activities,0,Male,40,2
Enterpreneurial Activities,0,Male,24,1
Wage/Salaries,1510,Male,62,2
Other sources of Income,6060,Female,41,1
Wage/Salaries,9300,Male,55,1
Wage/Salaries,19350,Male,55,3
Wage/Salaries,0,Male,63,1
Enterpreneurial Activities,0,Male,55,0
Wage/Salaries,0,Female,73,0
Other sources of Income,13770,Male,51,0
Wage/Salaries,0,Female,45,2
Wage/Salaries,13140,Female,52,2
Wage/Salaries,690,Male,30,2
Enterpreneurial Activities,400,Male,40,0
Enterpreneurial Activities,2770,Female,58,2
Wage/Salaries,1394,Male,64,2
Wage/Salaries,450,Male,53,3
Wage/Salaries,100,Female,57,3
Wage/Salaries,34500,Male,41,2
Wage/Salaries,680,Male,39,1
Wage/Salaries,380,Male,24,1
Enterpreneurial Activities,0,Male,21,0
Enterpreneurial Activities,0,Male,60,0
Enterpreneurial Activities,1420,Male,64,2
Enterpreneurial Activities,0,Male,25,1
Enterpreneurial Activities,510,Male,30,0
Enterpreneurial Activities,1050,Female,64,2
Enterpreneurial Activities,640,Male,42,0
Enterpreneurial Activities,2340,Male,45,0
Enterpreneurial Activities,0,Male,36,0
Enterpreneurial Activities,1270,Male,43,0
Enterpreneurial Activities,300,Male,30,1
Enterpreneurial Activities,1275,Female,67,0
Enterpreneurial Activities,755,Male,28,0
Enterpreneurial Activities,0,Male,46,0
Enterpreneurial Activities,970,Male,49,0
Enterpreneurial Activities,1000,Male,35,0
Enterpreneurial Activities,74,Male,36,1
Enterpreneurial Activities,15375,Male,52,0
Enterpreneurial Activities,1920,Male,43,0
Enterpreneurial Activities,3650,Male,58,1
Enterpreneurial Activities,1630,Male,34,0
Enterpreneurial Activities,100,Male,40,0
Enterpreneurial Activities,20100,Male,42,0
Wage/Salaries,4580,Male,55,1
Wage/Salaries,0,Male,57,2
Wage/Salaries,2340,Male,38,1
Wage/Salaries,3605,Male,52,1
Other sources of Income,3205,Female,34,0
Wage/Salaries,1840,Male,38,2
Wage/Salaries,40140,Male,55,3
Enterpreneurial Activities,770,Male,44,1
Other sources of Income,0,Male,66,0
Wage/Salaries,15180,Male,58,2
Enterpreneurial Activities,0,Male,66,0
Other sources of Income,2550,Female,40,2
Enterpreneurial Activities,1500,Male,50,0
Wage/Salaries,0,Male,48,1
Enterpreneurial Activities,1800,Male,67,0
Other sources of Income,300,Male,64,0
Wage/Salaries,2450,Male,47,4
Enterpreneurial Activities,2750,Male,47,2
Enterpreneurial Activities,2650,Male,54,1
Wage/Salaries,1650,Male,48,1
Wage/Salaries,14300,Male,49,3
Wage/Salaries,1910,Male,26,1
Enterpreneurial Activities,2025,Male,31,0
Wage/Salaries,5250,Male,39,2
Wage/Salaries,1945,Male,33,2
Wage/Salaries,2485,Male,41,1
Wage/Salaries,1600,Female,41,2
Other sources of Income,2460,Male,60,0
Enterpreneurial Activities,1304,Female,59,2
Other sources of Income,720,Male,81,0
Wage/Salaries,2500,Male,39,1
Enterpreneurial Activities,3369,Male,46,0
Enterpreneurial Activities,0,Male,52,0
Enterpreneurial Activities,2380,Male,40,2
Enterpreneurial Activities,1238,Male,39,2
Enterpreneurial Activities,0,Male,41,1
Enterpreneurial Activities,2880,Male,47,1
Wage/Salaries,1385,Male,35,1
Wage/Salaries,0,Male,53,1
Enterpreneurial Activities,2030,Male,44,2
Wage/Salaries,1220,Male,40,2
Wage/Salaries,9280,Male,52,2
Enterpreneurial Activities,0,Male,62,3
Wage/Salaries,0,Male,26,2
Enterpreneurial Activities,0,Male,62,2
Enterpreneurial Activities,746,Male,34,0
Wage/Salaries,0,Male,44,1
Enterpreneurial Activities,0,Male,60,1
Wage/Salaries,0,Female,41,1
Enterpreneurial Activities,1435,Male,45,4
Enterpreneurial Activities,7303,Male,38,1
Wage/Salaries,365,Male,41,3
Other sources of Income,1400,Female,67,1
Wage/Salaries,47967,Male,63,1
Enterpreneurial Activities,1100,Male,38,1
Wage/Salaries,0,Female,54,4
Enterpreneurial Activities,300,Male,56,1
Wage/Salaries,400,Male,50,4
Wage/Salaries,1352,Male,44,1
Wage/Salaries,640,Female,82,1
Wage/Salaries,800,Female,50,2
Enterpreneurial Activities,1400,Male,84,0
Wage/Salaries,1341,Male,46,2
Wage/Salaries,685,Male,31,1
Other sources of Income,0,Female,73,0
Wage/Salaries,0,Male,27,2
Wage/Salaries,925,Male,59,4
Other sources of Income,0,Male,75,1
Wage/Salaries,0,Male,57,1
Other sources of Income,0,Male,21,1
Other sources of Income,0,Female,76,0
Other sources of Income,4015,Female,45,2
Wage/Salaries,1600,Male,40,1
Wage/Salaries,1160,Male,53,2
Wage/Salaries,5970,Male,56,1
Wage/Salaries,1550,Male,53,1
Wage/Salaries,450,Female,60,2
Enterpreneurial Activities,12720,Male,46,1
Other sources of Income,1600,Male,50,1
Wage/Salaries,5350,Female,62,1
Enterpreneurial Activities,1400,Male,40,1
Wage/Salaries,3550,Male,60,3
Wage/Salaries,735,Male,30,1
Enterpreneurial Activities,2975,Male,50,2
Wage/Salaries,0,Male,77,2
Enterpreneurial Activities,1440,Male,38,0
Other sources of Income,2650,Male,46,1
Other sources of Income,2249,Female,73,3
Wage/Salaries,1054,Male,35,1
Enterpreneurial Activities,550,Male,33,1
Wage/Salaries,1565,Male,56,3
Wage/Salaries,1300,Male,31,1
Wage/Salaries,4860,Male,58,1
Wage/Salaries,5416,Male,62,5
Other sources of Income,0,Female,83,0
Wage/Salaries,3400,Male,41,2
Wage/Salaries,27500,Male,46,4
Enterpreneurial Activities,2510,Male,50,2
Wage/Salaries,1895,Male,32,1
Other sources of Income,1100,Male,61,1
Enterpreneurial Activities,1058,Male,53,1
Wage/Salaries,5945,Male,41,2
Enterpreneurial Activities,0,Male,78,0
Other sources of Income,0,Male,75,0
Other sources of Income,0,Male,52,0
Other sources of Income,0,Male,64,0
Wage/Salaries,0,Male,63,1
Wage/Salaries,0,Female,52,1
Enterpreneurial Activities,2693,Male,62,0
Enterpreneurial Activities,0,Male,45,0
Wage/Salaries,750,Male,36,2
Enterpreneurial Activities,0,Male,76,1
Wage/Salaries,2600,Male,41,2
Other sources of Income,2730,Male,56,3
Wage/Salaries,0,Female,46,1
Other sources of Income,0,Male,66,0
Wage/Salaries,1204,Male,52,4
Wage/Salaries,2750,Male,36,1
Other sources of Income,0,Female,80,0
Wage/Salaries,0,Male,48,1
Wage/Salaries,1280,Male,38,1
Wage/Salaries,1785,Male,40,1
Enterpreneurial Activities,0,Male,62,0
Enterpreneurial Activities,1020,Male,31,1
Wage/Salaries,1820,Male,36,1
Wage/Salaries,1270,Female,60,1
Wage/Salaries,2325,Male,30,2
Wage/Salaries,1400,Male,47,2
Other sources of Income,0,Male,63,1
Enterpreneurial Activities,572,Male,61,0
Other sources of Income,0,Female,79,2
Enterpreneurial Activities,0,Male,64,1
Other sources of Income,0,Female,24,1
Wage/Salaries,22850,Male,39,1
Wage/Salaries,282000,Male,56,5
Other sources of Income,900,Female,55,0
Wage/Salaries,1950,Male,75,2
Enterpreneurial Activities,1136,Male,52,1
Wage/Salaries,56255,Male,40,1
Other sources of Income,9095,Male,70,1
Other sources of Income,17300,Female,21,1
Enterpreneurial Activities,2050,Male,38,2
Other sources of Income,850,Male,59,2
Wage/Salaries,1900,Male,59,1
Other sources of Income,0,Male,64,0
Wage/Salaries,0,Female,58,3
Other sources of Income,0,Male,59,0
Wage/Salaries,0,Female,64,1
Other sources of Income,0,Female,73,0
Other sources of Income,44200,Female,33,0
Other sources of Income,3780,Male,20,0
Other sources of Income,102500,Male,55,0
Enterpreneurial Activities,0,Female,40,1
Other sources of Income,9670,Male,53,0
Other sources of Income,0,Female,68,2
Other sources of Income,950,Male,49,1
Other sources of Income,0,Female,58,1
Other sources of Income,0,Male,37,0
Wage/Salaries,18090,Male,48,3
Wage/Salaries,0,Male,50,2
Other sources of Income,2345,Male,37,2
Other sources of Income,0,Male,95,1
Wage/Salaries,414,Male,42,1
Other sources of Income,0,Male,75,1
Enterpreneurial Activities,9800,Female,79,0
Other sources of Income,2560,Male,42,1
Other sources of Income,1379,Male,41,1
Wage/Salaries,0,Male,54,2
Wage/Salaries,2280,Male,40,4
Wage/Salaries,830,Male,32,1
Other sources of Income,0,Male,77,0
Other sources of Income,0,Male,69,0
Other sources of Income,0,Male,86,0
Other sources of Income,450,Male,41,0
Other sources of Income,370,Female,56,1
Other sources of Income,0,Male,71,0
Wage/Salaries,0,Female,49,1
Other sources of Income,6536,Male,50,2
Other sources of Income,13315,Male,46,1
Other sources of Income,1550,Male,44,2
Enterpreneurial Activities,1850,Female,45,0
Enterpreneurial Activities,0,Male,72,0
Wage/Salaries,9130,Male,38,2
Wage/Salaries,4210,Male,37,2
Other sources of Income,0,Female,75,0
Other sources of Income,0,Male,63,0
Other sources of Income,400,Female,73,2
Other sources of Income,0,Female,65,1
Wage/Salaries,430,Female,59,4
Wage/Salaries,14900,Female,45,2
